default.payment.next.month,meses_con_atraso,PAY_0,meses_sin_pago,LIMIT_BAL,pago_promedio_6m,volatilidad_facturacion
1,6,2,1,50000.0,1705.8333333333333,2024.2811481280623
1,1,2,0,310000.0,8995.5,44667.92358579775
0,0,0,1,20000.0,718.0,1517.608601275924
0,0,0,0,200000.0,3676.0,4192.85882185413
1,0,0,0,180000.0,2461.8333333333335,26762.876666507036
1,0,0,0,50000.0,1033.3333333333333,1446.826273837556
0,3,3,0,60000.0,1251.8333333333333,17302.28765703156
0,1,1,1,240000.0,1490.6666666666667,1395.3877477843453
0,0,0,0,420000.0,8884.833333333334,24198.630320054617
0,0,0,0,330000.0,8182.666666666667,844.5518930178299
0,0,0,2,30000.0,910.0,10822.097221272163
0,3,0,2,240000.0,771.1666666666666,1341.5108895073
0,0,0,0,150000.0,3333.3333333333335,4825.3427546652065
0,0,0,0,210000.0,1174.3333333333333,1853.1112936536397
0,0,0,0,50000.0,1493.3333333333333,16935.136133691594
0,0,-1,1,180000.0,930.0,642.2647429214841
0,4,1,0,50000.0,2250.0,4804.1501398964065
0,0,-1,0,20000.0,3940.1666666666665,5964.170375388909
0,1,0,1,50000.0,1197.1666666666667,2311.2592815750177
1,0,0,1,170000.0,625.3333333333334,4313.15508647672
0,2,1,0,200000.0,14500.0,50870.33393016667
0,4,1,2,80000.0,686.8333333333334,952.4360345975996
0,1,0,1,140000.0,2711.1666666666665,11963.214173735529
0,0,0,0,80000.0,10500.0,7644.636856428609
0,0,0,0,280000.0,22200.0,38459.20973923758
0,0,0,0,30000.0,1450.0,1855.3461851273648
0,0,0,0,140000.0,5898.166666666667,10496.222533210062
0,0,0,0,200000.0,3760.0,6603.059455030423
0,0,0,0,200000.0,6298.0,30175.791255022075
1,6,2,0,210000.0,10878.0,14281.202980374821
0,2,3,1,50000.0,633.3333333333334,616.0084415006015
0,5,2,2,30000.0,1358.3333333333333,1459.8277523963802
0,2,2,1,50000.0,440.0,314.68079064347097
0,0,-1,1,290000.0,396.0,344.89674783428546
0,1,0,1,250000.0,6641.666666666667,6571.552297593013
0,0,0,0,60000.0,1666.6666666666667,2352.3388928185213
0,0,0,0,110000.0,3516.6666666666665,15262.888840801623
0,2,-1,1,100000.0,9317.666666666666,41598.69105032032
0,1,0,1,90000.0,4108.666666666667,6661.795986568987
0,0,0,0,50000.0,1132.5,632.3715416325016
0,0,0,0,270000.0,3166.6666666666665,4876.173311795497
0,0,-1,1,300000.0,1974.3333333333333,1715.742482619891
0,0,-1,1,50000.0,5191.5,4127.7755631817
1,6,1,2,130000.0,2416.6666666666665,3144.6615981161895
0,3,1,2,50000.0,1083.3333333333333,13005.919520228728
0,0,0,0,20000.0,1152.1666666666667,1271.8007181420628
0,1,0,1,80000.0,1466.6666666666667,33983.10764335716
0,1,-1,2,240000.0,14031.833333333334,10641.69132077541
0,0,0,0,80000.0,4833.333333333333,13884.307723709766
0,0,0,0,500000.0,37091.666666666664,26640.326722846323
1,0,0,0,60000.0,1806.1666666666667,19829.416858966546
0,0,0,1,20000.0,892.1666666666666,5377.56231019223
1,3,1,2,100000.0,933.3333333333334,998.7883492846053
0,1,1,0,360000.0,33214.666666666664,28198.70630838703
1,6,2,1,200000.0,5997.333333333333,4722.088775107897
0,1,1,0,130000.0,2899.5,5824.615409335338
0,6,1,4,20000.0,293.3333333333333,566.9997060551854
0,0,0,0,310000.0,6736.5,7938.860438795146
1,2,2,1,60000.0,1125.3333333333333,1403.4977259214447
0,0,0,0,50000.0,4418.5,18679.504818561614
1,6,1,1,50000.0,1355.3333333333333,1406.5517765087782
0,0,0,0,20000.0,4127.666666666667,4380.664032617277
1,3,1,2,30000.0,483.8333333333333,14603.12818086134
0,2,0,2,140000.0,6383.333333333333,6742.712421570417
0,0,-1,0,140000.0,8306.5,6356.374595632325
0,0,0,0,120000.0,4858.666666666667,5458.86232347608
0,0,0,0,360000.0,6250.0,36162.65310740719
0,0,-1,0,20000.0,5256.333333333333,7980.179306673922
0,0,-1,1,100000.0,837.1666666666666,498.98847682085807
1,0,-1,1,210000.0,1164.6666666666667,1520.2069267043878
1,0,0,0,80000.0,2306.3333333333335,17204.562240870877
0,0,0,2,220000.0,17330.833333333332,51879.0533789891
0,0,0,0,40000.0,1400.6666666666667,3094.8592482803906
0,1,0,1,30000.0,1415.5,9337.570699419988
0,4,2,1,470000.0,9281.666666666666,71758.14339014074
0,1,-1,2,30000.0,415.0,402.8275065086792
0,1,2,0,80000.0,3250.0,1272.3102478038393
1,3,2,1,360000.0,5350.0,5240.956531652086
0,0,0,0,330000.0,12203.833333333334,2121.3666035522165
0,0,0,0,300000.0,12430.333333333334,43468.61483300336
0,0,0,0,320000.0,6977.666666666667,30130.21621561983
1,3,1,1,50000.0,5719.5,11513.862821254503
0,0,0,0,170000.0,8091.5,2061.9707725054363
0,0,0,0,20000.0,1260.6666666666667,1247.01875152969
1,1,2,0,50000.0,1512.3333333333333,15134.89335828524
0,2,1,2,20000.0,855.5,8651.455438248526
0,0,0,0,50000.0,1122.0,14219.493521219383
1,3,1,2,20000.0,2200.0,3511.663024835954
1,3,2,1,190000.0,5814.5,7649.219611611807
0,0,0,0,60000.0,989.1666666666666,15557.88771009741
0,0,-1,0,80000.0,6048.833333333333,6886.58602405188
0,0,0,0,150000.0,2104.1666666666665,41385.13350951039
1,0,0,0,240000.0,8499.5,11247.440480690115
1,0,0,0,140000.0,2266.1666666666665,2682.17404356988
0,0,0,0,50000.0,2133.3333333333335,13949.058286015823
0,0,0,0,50000.0,1325.0,966.4145418331963
0,2,-1,3,180000.0,969.6666666666666,2206.113596349925
0,4,-1,2,30000.0,99.16666666666667,77.51752490028733
0,0,0,0,250000.0,1954.5,20799.4762986956
0,0,0,1,100000.0,1376.6666666666667,2978.9000430807787
0,1,0,0,330000.0,2538.3333333333335,9310.13402159174
0,0,0,0,50000.0,1171.1666666666667,7902.159183834927
0,3,1,0,50000.0,1677.0,11278.22825920218
0,0,0,2,30000.0,1342.6666666666667,11427.391630055681
1,0,0,0,140000.0,4173.5,2116.4450776400195
0,0,0,0,160000.0,22051.833333333332,35058.60360833938
0,0,-1,0,400000.0,2470.8333333333335,6908.726732666929
0,0,0,0,50000.0,1140.3333333333333,821.1354740033258
0,0,0,0,140000.0,4583.5,8254.014669642082
0,0,-1,1,160000.0,11443.5,19282.21550980765
1,1,2,0,220000.0,7003.333333333333,22831.07784577855
0,0,0,0,510000.0,26745.0,26275.34073930663
0,0,0,0,50000.0,2752.0,8128.363363350993
0,1,-1,1,160000.0,7357.0,6383.1726724777445
0,0,-1,0,80000.0,4826.166666666667,6645.490701721482
0,1,0,1,10000.0,655.3333333333334,1059.181507894972
1,0,0,1,130000.0,1664.3333333333333,28829.946731942928
0,0,0,0,40000.0,1533.3333333333333,660.8675358950536
1,3,3,1,50000.0,1105.1666666666667,4754.934969762117
0,0,0,0,100000.0,1614.3333333333333,20169.113906333783
0,1,-1,4,120000.0,300.0,481.23078316610906
0,0,0,0,200000.0,1920.3333333333333,1859.543465477481
0,0,0,0,70000.0,4707.833333333333,27363.36274229954
1,1,2,3,460000.0,4654.5,8842.574263188293
0,0,-1,0,50000.0,316.0,342.92856398964494
0,0,0,0,50000.0,1167.3333333333333,16826.81931619877
0,0,0,0,250000.0,4483.333333333333,2256.551683432046
0,0,0,0,270000.0,24035.666666666668,34627.05249367899
0,0,0,0,180000.0,4532.0,35329.86223815013
0,0,0,0,100000.0,3366.3333333333335,1741.4093908862058
0,0,0,0,230000.0,4833.333333333333,41253.889442895765
0,0,-1,0,210000.0,20078.333333333332,39139.53571731104
0,1,2,0,210000.0,2300.6666666666665,6590.15057996907
0,0,0,0,440000.0,4957.666666666667,37887.650850464015
1,1,2,0,100000.0,2201.6666666666665,7827.878844233603
0,0,0,0,240000.0,1049.1666666666667,2663.1671183010653
1,0,-1,1,280000.0,57956.5,391.59656110168623
0,6,3,3,30000.0,333.3333333333333,364.8320161389348
1,1,0,1,10000.0,911.6666666666666,1228.3157031751514
0,0,0,0,200000.0,6070.833333333333,32521.52004237604
0,0,-1,1,120000.0,1452.5,813.6843163455142
0,0,0,0,210000.0,5451.5,6052.853960460855
0,0,0,0,280000.0,1953.0,16918.161941140846
0,0,0,0,100000.0,2550.5,16741.31865077141
0,0,0,0,50000.0,1267.6666666666667,19276.797985315578
1,1,0,1,20000.0,1916.6666666666667,5818.96466449717
0,0,-1,0,200000.0,2154.5,2695.856054515275
0,0,-1,3,500000.0,6175.333333333333,8950.981527184602
1,6,2,0,30000.0,1483.3333333333333,1888.5621426542118
0,0,-1,1,60000.0,7851.833333333333,7336.105524504584
0,0,-1,0,400000.0,3192.1666666666665,1585.209481425089
0,0,0,0,180000.0,5333.333333333333,8583.948314538402
0,1,0,2,20000.0,1766.6666666666667,2274.007805615451
1,3,-1,2,200000.0,2714.3333333333335,3476.3672082601784
0,0,0,0,100000.0,811.8333333333334,19279.232966242893
1,0,0,0,60000.0,1335.5,12821.575997772921
0,0,0,0,110000.0,2250.0,2117.223976500046
0,3,3,0,50000.0,1228.6666666666667,11148.551888025637
1,3,1,1,110000.0,1725.6666666666667,4608.002604165931
0,0,0,0,340000.0,15024.5,27608.73199128614
0,0,-1,0,50000.0,1836.5,3080.565337726178
0,0,0,0,360000.0,9500.0,3728.137162176306
1,3,-1,2,220000.0,320.8333333333333,239.13908087136238
1,5,2,2,60000.0,1685.1666666666667,2081.425088731276
0,6,2,1,150000.0,4283.333333333333,3872.7104418826184
1,2,1,1,200000.0,8566.666666666666,9930.361975611295
1,1,0,1,130000.0,1200.0,1390.4505265081052
0,2,1,1,60000.0,5116.0,8750.352076726209
0,0,0,0,20000.0,917.1666666666666,614.0936139276052
0,0,0,0,190000.0,6139.333333333333,6202.300006180502
0,0,0,0,260000.0,7333.333333333333,1243.614731337644
1,0,0,0,50000.0,1767.8333333333333,9876.491111050862
0,0,-1,0,120000.0,3367.3333333333335,2788.0562404657476
0,0,0,3,50000.0,565.0,2579.3630544509756
0,2,-1,2,200000.0,5175.833333333333,11494.931968770701
0,0,0,1,180000.0,47483.833333333336,131734.24171983532
0,0,0,0,180000.0,4451.666666666667,17726.95782981389
0,0,-1,0,100000.0,2329.0,1221.9918848612156
1,0,0,0,50000.0,2166.6666666666665,4260.305235543576
0,0,0,0,140000.0,5750.0,1771.3856346562898
1,0,0,0,30000.0,1010.6666666666666,1038.8398657476841
0,0,0,2,90000.0,5307.0,15760.205540114845
0,0,0,0,80000.0,2007.5,26411.259944702877
0,4,2,1,50000.0,1112.1666666666667,1174.7850299806628
1,0,-1,0,180000.0,1463.5,1281.4675441331576
0,0,0,0,240000.0,4566.333333333333,13479.607407735088
0,0,0,0,380000.0,10735.0,11166.219152724287
0,0,0,0,110000.0,3216.6666666666665,2742.0853378405277
0,0,-1,0,260000.0,20277.666666666668,24809.146574734623
1,3,4,1,500000.0,12583.333333333334,34561.840962252
0,0,0,0,320000.0,2611.5,1501.0611801877587
0,3,4,2,50000.0,914.1666666666666,7729.26358070418
0,0,0,0,50000.0,1708.5,13886.812631654057
0,3,-1,4,10000.0,275.0,487.24230796049176
1,2,3,1,20000.0,531.6666666666666,5003.902773502566
0,0,-1,0,160000.0,19987.666666666668,8015.191467873158
0,3,0,2,90000.0,3440.0,6544.589276646778
0,0,0,1,30000.0,2000.0,1398.0430131675728
0,0,0,0,180000.0,31577.166666666668,61158.53672437451
0,0,0,0,30000.0,1336.0,1194.2175122927426
0,3,1,2,30000.0,1248.0,2153.5640227306917
0,0,-1,0,140000.0,5991.0,4394.830963757309
0,0,0,0,210000.0,4250.0,12887.367423178404
1,0,0,0,50000.0,2721.1666666666665,3875.4350680493494
0,0,0,0,130000.0,3416.6666666666665,8807.186075396992
1,3,2,0,50000.0,583.3333333333334,740.4780662968126
0,0,0,0,140000.0,7950.0,7131.965407001542
1,1,-1,1,170000.0,649.8333333333334,1202.3260234506556
0,0,0,0,410000.0,10633.333333333334,56581.60181071817
1,3,-1,0,80000.0,3905.0,4444.45915719787
0,0,0,0,150000.0,6139.0,3585.9748140033926
1,0,-1,2,260000.0,21969.166666666668,389.1945528909674
1,1,1,0,280000.0,8114.0,14524.340076804407
0,0,0,0,310000.0,3346.3333333333335,12846.807862915468
0,0,0,0,140000.0,2750.0,1543.5818626385405
0,0,0,0,140000.0,7266.666666666667,757.585044730953
0,0,0,2,100000.0,856.8333333333334,5539.324498528679
0,0,0,0,210000.0,3867.0,14128.846158362212
0,6,2,2,120000.0,3613.1666666666665,4034.378151173569
0,0,0,0,240000.0,34105.666666666664,58230.53544118126
0,0,0,0,60000.0,1647.5,5150.401489204507
1,1,-1,2,150000.0,881.8333333333334,938.8177671944646
0,0,0,0,30000.0,1490.3333333333333,1468.840551818565
1,6,2,2,160000.0,5085.333333333333,5778.73696984615
0,2,1,0,500000.0,10784.833333333334,79820.22905671636
0,0,0,0,320000.0,11266.833333333334,3735.808654093515
0,0,0,0,280000.0,7137.166666666667,6652.230352796471
1,6,1,1,60000.0,1368.1666666666667,1715.253032839956
1,2,1,1,230000.0,1240.1666666666667,3238.9108663252837
0,1,0,1,50000.0,1300.0,1730.4438736925274
0,0,0,0,50000.0,2576.8333333333335,12347.821520414036
0,2,2,1,30000.0,1434.5,1781.2437695797469
0,0,0,0,440000.0,7026.0,6705.500130489895
0,0,-1,1,230000.0,1618.1666666666667,3769.319660097827
1,3,2,2,200000.0,3416.6666666666665,3857.5189306081184
0,0,0,0,490000.0,7196.833333333333,5709.196291948631
1,4,2,1,20000.0,1687.1666666666667,2441.746785943757
1,0,-1,1,170000.0,232.16666666666666,81.24140980230874
0,0,0,0,70000.0,6106.833333333333,21412.138075555806
0,0,0,0,210000.0,4083.3333333333335,58575.60363410692
0,0,0,0,90000.0,3100.1666666666665,7350.166086558861
1,0,0,0,390000.0,10362.0,8160.56441062749
0,0,0,0,110000.0,2259.5,1797.7821521715769
0,0,0,0,580000.0,6130.666666666667,3890.597109270847
1,6,1,2,270000.0,7000.0,6792.15224848992
0,0,0,0,110000.0,2266.6666666666665,1029.1269439027756
0,0,0,0,50000.0,1462.1666666666667,14174.401019678633
1,0,0,0,80000.0,8211.333333333334,15834.816458256368
0,0,-1,0,50000.0,2771.6666666666665,6174.79300597734
0,2,0,1,100000.0,3539.5,3614.800796724489
0,0,0,0,200000.0,5678.333333333333,4648.007917377078
1,0,0,0,240000.0,8572.666666666666,22226.100498438016
0,0,0,0,220000.0,1050.0,8119.481682964744
0,0,0,0,160000.0,3216.6666666666665,24364.577414079376
0,0,-1,2,180000.0,5379.833333333333,19256.056568432352
0,0,0,1,200000.0,2007.1666666666667,14365.52824530538
0,1,0,1,140000.0,4520.166666666667,17744.81166613686
1,2,2,1,600000.0,15166.666666666666,14330.088913425021
0,0,0,0,260000.0,28003.666666666668,87346.52025677191
0,0,0,0,80000.0,10172.0,19592.93970456365
0,0,0,0,40000.0,2341.5,14187.53140848212
0,6,1,3,130000.0,3000.0,2973.188165365029
0,0,-1,0,230000.0,9895.5,5718.096256622478
1,0,0,1,70000.0,2467.8333333333335,17715.35875354114
0,0,0,0,180000.0,6004.833333333333,16282.907168766475
0,0,-1,0,80000.0,4777.833333333333,3175.0757943709
0,0,0,0,290000.0,19256.0,46187.75647037499
0,0,0,0,230000.0,24005.333333333332,34010.181297664385
1,0,-1,0,230000.0,7137.0,5992.999438233468
1,0,0,0,220000.0,7524.5,24550.125151751603
0,0,0,0,230000.0,872.6666666666666,3797.1981117660953
0,0,0,0,500000.0,16594.666666666668,5449.263928886788
0,0,-1,0,90000.0,2455.1666666666665,2552.4178667817437
1,0,0,0,390000.0,11314.0,58620.67239350523
0,0,0,0,400000.0,8656.333333333334,112764.65342192413
0,0,-1,0,180000.0,1846.0,808.2401664521918
0,4,1,1,60000.0,1583.3333333333333,2238.1562948105297
0,0,-1,2,120000.0,3362.0,2814.8382309942194
0,0,0,0,60000.0,1136.6666666666667,2584.0045665594325
0,0,0,0,50000.0,1311.5,8946.219916814029
0,1,0,1,70000.0,2489.1666666666665,10096.019175893041
0,1,-1,1,500000.0,383.5,135.77002614715812
0,1,0,2,250000.0,32194.0,57401.26472009712
1,4,0,1,140000.0,6608.333333333333,6551.724060632183
0,1,0,2,70000.0,1801.0,17785.08824455664
0,6,1,0,90000.0,2414.3333333333335,6741.211463824585
0,0,-1,0,100000.0,1636.3333333333333,928.725291281909
0,0,0,0,190000.0,4847.666666666667,31179.146822302027
0,0,-1,2,230000.0,7628.0,5407.779337830517
0,0,0,0,320000.0,3843.1666666666665,1609.5000983742332
1,0,-1,1,220000.0,670.6666666666666,504.3152453244564
0,0,-1,0,260000.0,4977.5,5078.928810946917
0,5,2,1,30000.0,768.3333333333334,3407.5923905302993
0,1,0,0,260000.0,3686.0,56848.850922424106
1,0,0,0,80000.0,579.3333333333334,718.6394552671504
0,0,-1,0,50000.0,708.3333333333334,175.57980141994312
0,0,0,0,200000.0,7291.5,3461.66304926789
0,1,0,1,20000.0,1744.1666666666667,4865.755179483105
0,2,0,1,20000.0,1323.1666666666667,2012.6995801659025
0,2,0,1,30000.0,1366.6666666666667,1858.5968273583883
0,6,1,3,90000.0,2083.3333333333335,3655.5608963149098
0,0,0,0,230000.0,8250.0,20282.473295105472
1,0,0,4,130000.0,833.3333333333334,8841.213229340568
0,0,-1,2,160000.0,467.5,419.3913049488111
0,0,-1,1,500000.0,136515.5,138946.2363094685
0,1,0,1,180000.0,1688.0,2665.127364060987
0,1,0,1,80000.0,800.0,5260.291161143079
0,1,-1,1,130000.0,940.5,375.8327642272114
1,0,-1,0,120000.0,240.0,0.0
0,0,-1,0,360000.0,19348.0,23995.23043787383
1,6,2,0,50000.0,1466.6666666666667,1292.1701771309638
0,1,0,0,20000.0,823.0,2622.860073787137
0,0,0,0,100000.0,16621.666666666668,13690.584555330961
0,0,0,0,70000.0,3328.3333333333335,1276.1901112295143
0,0,0,0,50000.0,1966.1666666666667,2556.8476424430664
0,2,1,1,10000.0,767.8333333333334,684.2276424309871
0,0,0,0,290000.0,6500.0,7869.756184279155
0,0,0,0,30000.0,1274.1666666666667,1211.296935795128
0,1,1,0,410000.0,16145.666666666666,22978.98371991242
1,0,-1,0,360000.0,75805.0,58484.12160036831
1,0,0,0,140000.0,4527.833333333333,21921.688198372558
0,0,0,0,210000.0,2933.3333333333335,2695.841223069341
0,0,-1,1,220000.0,28651.5,4960.007933461397
0,3,1,2,20000.0,750.0,1002.2808821217067
1,2,2,1,620000.0,5116.666666666667,5075.013655154044
0,2,-1,3,20000.0,6085.166666666667,7953.269164312245
0,0,0,0,50000.0,4756.0,6374.77884845166
0,0,0,0,50000.0,1155.8333333333333,32466.611637188136
1,3,0,2,10000.0,627.6666666666666,1058.5653341512118
1,4,2,1,100000.0,2841.6666666666665,3925.400688677102
0,0,-1,0,60000.0,2335.5,2361.2373874729324
0,0,0,0,440000.0,9283.333333333334,62554.44857295656
0,0,0,1,120000.0,2408.1666666666665,19413.090665836804
0,6,1,0,110000.0,3850.0,3859.5842997227905
1,4,2,2,30000.0,783.3333333333334,479.08649184324395
0,0,0,0,100000.0,8540.833333333334,6242.953457031909
0,0,-1,1,360000.0,6678.166666666667,8451.645993532857
0,0,0,0,390000.0,3833.3333333333335,3446.8882585118226
0,0,-1,0,230000.0,4320.5,6021.263986905075
0,0,0,0,120000.0,4587.333333333333,9481.091021958742
1,3,0,1,100000.0,1250.0,980.9857627237343
1,0,-1,3,190000.0,7309.0,13582.855055792455
1,0,0,0,50000.0,1602.8333333333333,11153.37072667571
0,4,0,0,110000.0,4883.333333333333,6521.862423163085
0,0,0,1,210000.0,2495.8333333333335,2780.9829197605654
0,0,-1,0,270000.0,7242.5,5408.548101539513
0,0,-1,0,60000.0,1625.0,1367.106689326038
0,0,-1,0,360000.0,22784.833333333332,23413.32520951833
0,5,2,0,390000.0,1645.6666666666667,1788.40783007307
1,0,0,0,90000.0,2147.3333333333335,4323.951186896848
0,0,-1,0,360000.0,8020.666666666667,3889.7020665684236
0,0,0,0,50000.0,1114.1666666666667,7056.52942316547
0,1,1,1,200000.0,6349.333333333333,20742.973370919284
0,0,0,0,50000.0,1582.6666666666667,15649.547807098666
0,0,-1,0,80000.0,5124.166666666667,2451.4798523884847
1,1,2,0,290000.0,9852.333333333334,19041.620169162776
0,0,-1,0,270000.0,12861.0,24290.373028561473
0,1,-1,2,80000.0,5021.333333333333,11563.043474795033
0,0,0,0,50000.0,900.0,749.8068417932715
0,0,-1,0,90000.0,7747.833333333333,4527.397972345705
0,0,-1,0,160000.0,12067.833333333334,12065.002650918344
0,0,0,0,80000.0,2646.8333333333335,10936.070281412789
0,0,0,2,50000.0,1200.0,20084.734555544084
0,1,0,1,20000.0,983.3333333333334,1267.60016040811
1,1,-1,1,210000.0,7487.5,9511.295630284376
0,0,0,0,130000.0,3001.8333333333335,46732.77622254713
0,0,-1,0,260000.0,26550.0,25745.387656821174
0,0,0,0,230000.0,14973.333333333334,17791.639617153523
0,0,0,0,160000.0,3477.0,1635.601377679374
0,0,0,0,50000.0,1203.3333333333333,11240.841636639136
0,0,0,0,80000.0,3002.8333333333335,3775.2420849529635
0,0,0,0,110000.0,2480.3333333333335,2017.3615441957845
0,0,0,0,200000.0,4976.833333333333,4167.4656567271195
0,0,0,0,360000.0,7785.166666666667,8400.163944828695
0,1,2,0,80000.0,3041.5,9692.499851259565
1,1,-1,2,300000.0,14820.166666666666,25540.765319386966
0,0,0,0,310000.0,1051.6666666666667,820.8338849405931
1,0,-1,1,30000.0,480.0,379.6709101313926
0,0,0,0,170000.0,769.3333333333334,2127.1411252351513
0,4,2,2,140000.0,1500.1666666666667,1408.965246791654
0,6,1,3,50000.0,988.3333333333334,1131.346763817354
0,1,0,1,110000.0,2833.3333333333335,4207.422651299328
0,0,-1,0,200000.0,418.5,69.81045766932057
0,0,0,1,220000.0,16590.333333333332,11234.170951461734
0,0,0,0,50000.0,1880.8333333333333,1979.9765065946278
0,2,2,2,40000.0,1019.5,3863.32021280487
0,6,1,1,190000.0,4833.333333333333,4116.440780577318
0,0,0,0,150000.0,2206.1666666666665,8198.117607109574
0,0,0,0,270000.0,4392.166666666667,14113.178547017676
0,0,0,0,60000.0,1886.3333333333333,8865.94961448951
0,0,0,0,200000.0,2780.0,4685.487697846049
0,0,0,0,150000.0,2583.3333333333335,2921.6538295972027
0,0,-1,1,180000.0,505.0,206.53490423332
